title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
In memory of Professor Samuel Angus,https://trove.nla.gov.au/work/11936519,,1943,Book/Illustrated|Book,http://nla.gov.au/nla.obj-359013541,nla.obj-359013541,,,20,Book,,,
Mr John Allen,https://trove.nla.gov.au/work/11936542,,1879,Book,http://nla.gov.au/nla.obj-359007993,nla.obj-359007993,,,1,Book,,,
The Ambassador-General of Empire : Oliver Bainbridge,https://trove.nla.gov.au/work/11944571,,1920-1929,Book/Illustrated|Book,http://nla.gov.au/nla.obj-359512209,nla.obj-359512209,,,12,Book,,,
"John Ballance, Premier of New Zealand, born Glenary, Antrim, March 27, 1839; died Wellington, N.Z., April 27, 1893 : the story of his illness, death and burial / by Ernest D. Hoben",https://trove.nla.gov.au/work/11944661,"Hoben, E. D. (Ernest Denis), 1864-",1893,Book/Illustrated|Book,http://nla.gov.au/nla.obj-359517015,nla.obj-359517015,,,26,Book,,,
"Order of service for the funeral of the late Honourable John Marcus Baddeley : a former deputy Premier and Minister of State of New South Wales, Friday, 3rd July, 1953 at 10.30 am",https://trove.nla.gov.au/work/11944672,,1953,Government publication|Book,http://nla.gov.au/nla.obj-359277688,nla.obj-359277688,,,4,Book,,,
"William Balmain, M.D., R.N. : surgeon on the First Fleet / by John MacPherson",https://trove.nla.gov.au/work/11944692,"MacPherson, John",1928,Book,http://nla.gov.au/nla.obj-359314546,nla.obj-359314546,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,4,Book,,,
Knitting,https://trove.nla.gov.au/work/11946418,Australian Red Cross Society,1910-1919,Book|Book/Illustrated,http://nla.gov.au/nla.obj-237983783,nla.obj-237983783,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,26,Book,,,
Fenian revelations : the confessions of O'Farrell who attempted to assassinate the Duke of Edinburgh,https://trove.nla.gov.au/work/11947982,"O'Farrell, Henry James, 1833-1868",1868-1880,Book,https://nla.gov.au/nla.obj-275814390,nla.obj-275814390,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,24,Book,,,
Xing ming gui zhi / [Yinzhenren mi shou],https://trove.nla.gov.au/work/11949812,Yinzhenren,1800-1990,Book|Book/Illustrated,https://nla.gov.au/nla.obj-55580544,nla.obj-55580544,Chinese,Out of Copyright,57,Multi Volume Book,,,
"The Blaxland galleries eighth and ninth floors, new building : Farmer & Company Limited, officially opened 16th September, 1929, by his Excellency the State Governor, Admiral Sir Dudley de Chair",https://trove.nla.gov.au/work/11950726,"Walker, Frank, 1861-1948",1929,Book|Book/Illustrated|Microform,https://nla.gov.au/nla.obj-360153554,nla.obj-360153554,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,30,Book,,,
The Pattern 1908 web infantry equipment / published by the War Office and re-printed 1.9.11 (with corrections),https://trove.nla.gov.au/work/11960311,Great Britain. War Office,1908-1986,Book|Book/Illustrated|Government publication,http://nla.gov.au/nla.obj-52818730,nla.obj-52818730,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,19,Book,,,
